|PPM 217626|06 45 08.880|-16 42 57.96|-0.0385| -1.2050| -1.5|A0        |D F  |STAR A0|
|PPM 335149|06 23 57.120|-52 41 44.52| 0.0024|  0.0210| -0.7|F0        |F    |STAR F0|
|PPM 360911|14 39 35.880|-60 50 07.44|-0.4983|  0.6990|  0.0|G0        |D F  |STAR G0|
|PPM 130442|14 15 39.672|+19 10 56.64|-0.0771| -1.9980|  0.0|K0        |F    |STAR K0|
|PPM 81558 |18 36 56.328|+38 47 01.32| 0.0173|  0.2860|  0.0|A0        |F    |STAR A0|
|PPM 187839|05 14 32.280|-08 12 06.12| 0.0000| -0.0010|  0.1|B8        |D F  |STAR B8|
|PPM 47925 |05 16 41.352|+45 59 52.80| 0.0073| -0.4250|  0.1|G0        |D F  |STAR G0|
|PPM 153068|07 39 18.120|+05 13 30.00|-0.0475| -1.0230|  0.4|F5        |CD F |STAR F5|
|PPM 149643|05 55 10.296|+07 24 25.20| 0.0017|  0.0090|  0.4|M0        |F    |STAR M0|
|PPM 331199|01 37 42.864|-57 14 12.12| 0.0117| -0.0350|  0.5|B5        |F    |STAR B5|
|PPM 360515|14 03 49.416|-60 22 22.80|-0.0043| -0.0190|  0.6|B1        |D F  |STAR B1|
|PPM 172188|21 44 11.160|+09 52 30.00| 0.0021| -0.0010|  0.7|K0        |F    |STAR K0|
|PPM 168779|19 50 46.992|+08 52 05.88| 0.0363|  0.3860|  0.8|A5        |F    |STAR A5|
|PPM 120061|04 35 55.248|+16 30 33.48| 0.0044| -0.1900|  0.8|K5        |F    |STAR K5|
|PPM 265579|16 29 24.432|-26 25 55.20|-0.0007| -0.0200|  0.9|M0        |D F  |STAR M0|
|PPM 227262|13 25 11.592|-11 09 40.68|-0.0028| -0.0280|  1.0|B2        |D F  |STAR B2|
|PPM 97924 |07 45 18.936|+28 01 34.32|-0.0474| -0.0460|  1.1|K0        |D F  |STAR K0|
|PPM 274426|22 57 39.048|-29 37 20.28| 0.0255| -0.1650|  1.2|A3        |F    |STAR A3|
|PPM 359410|12 26 35.880|-63 05 56.76|-0.0052| -0.0120|  1.3|B1        |D F  |STAR B1|
|PPM 341305|12 47 43.248|-59 41 19.32|-0.0063| -0.0140|  1.3|B1        |D F  |STAR B1|
|PPM 127140|10 08 22.320|+11 58 01.92|-0.0169|  0.0060|  1.3|B8        |F    |STAR B8|
|PPM 60323 |20 41 25.920|+45 16 49.44| 0.0003|  0.0020|  1.3|A2        |F    |STAR A2|
|PPM 251347|06 58 37.560|-28 58 19.56| 0.0003|  0.0030|  1.5|B1        |D F  |STAR B1|
|PPM 341058|12 31 09.936|-57 06 47.52| 0.0029| -0.2620|  1.6|M3        |D F  |STAR M3|
|PPM 296488|17 33 36.528|-37 06 13.68|-0.0001| -0.0290|  1.6|B2        |D F  |STAR B2|
